clip,split,v9_mota,v14_mota,delta
PP22_00157,train,0.45761381475667195,0.4714809000523287,0.013867085295656723
PP22_00159,train,0.37149532710280375,0.4018691588785047,0.030373831775700966
PP22_00160,train,0.33524191239622103,0.33552819925565414,0.0002862868594331047
PP22_00164,train,0.28648857917150605,0.3356562137049942,0.04916763453348816
PP22_00165,train,0.27040533037201553,0.2629094947251527,-0.007495835646862847
PP22_00168,train,0.4699889867841409,0.47329295154185025,0.0033039647577093323
PP22_00171,train,0.31882202304737517,0.32554417413572345,0.006722151088348283
PP22_00176,train,0.5788842231553689,0.566886622675465,-0.011997600479903947
PP22_00177,train,0.2757853079396487,0.28073212960672767,0.004946821667078938
PP22_00180,train,0.5381692573402418,0.5378238341968912,-0.0003454231433506205
PP22_00181,train,0.326278659611993,0.3353909465020576,0.009112286890064603
PP22_00182,train,0.44015444015444016,0.4471042471042471,0.006949806949806958
PP22_00184,train,0.32592592592592595,0.3429193899782135,0.01699346405228752
PP22_00185,train,0.39603960396039606,0.38465346534653466,-0.011386138613861396
PP22_00186,train,0.7117834394904459,0.714968152866242,0.0031847133757961776
PP22_00187,train,0.5684420109507218,0.573419611747138,0.004977600796416182
PP22_00188,train,0.41677475140510156,0.4353653264159101,0.01859057501080852
PP22_00192,train,0.38894907908992415,0.37811484290357533,-0.010834236186348822
PP22_00194,train,0.7326869806094183,0.7770083102493075,0.04432132963988922
PP22_00195,train,0.36898608349900597,0.39085487077534786,0.021868787276341894
PP22_00196,train,0.004301075268817178,0.004301075268817178,0.0
PP22_00197,train,0.15345303867403315,0.15814917127071826,0.00469613259668511
PP22_00199,train,0.4539512774806892,0.46702317290552586,0.013071895424836666
PP22_00202,train,0.367140890316659,0.3955943093162001,0.028453418999541125
PP22_00203,val,0.19695945945945947,0.21722972972972976,0.020270270270270285
PP22_00204,val,0.3844944997380828,0.4091147197485595,0.0246202200104767
PP22_00206,val,0.38314785373608906,0.415474297827239,0.03232644409114993
PP22_00208,val,0.46115288220551376,0.4778613199665831,0.01670843776106934
PP22_00209,val,0.2939453125,0.294921875,0.0009765625
PP22_00210,val,0.49569495694956944,0.49610496104961055,0.0004100041000411059
PP22_00211,val,0.4452865940312648,0.4651823780198958,0.01989578398863101
PP22_00213,val,0.33852140077821014,0.33754863813229574,-0.0009727626459143934
PP22_00214,val,0.6164791100763161,0.6144095201138274,-0.002069589962488627
PP22_00215,val,0.19377162629757783,0.19838523644752015,0.0046136101499423265
PP22_00216,val,0.4552499031383185,0.4548624564122433,-0.00038744672607515795
PP22_00217,val,0.5612737214538437,0.5802508845287874,0.01897716307494368
PP22_00220,val,0.3422818791946308,0.38022188741268315,0.037940008218052323
PP22_00223,val,0.31983323406789754,0.33531864204883854,0.015485407980941002
PP22_00224,val,0.14835164835164838,0.13003663003663002,-0.01831501831501836
PP22_00225,val,0.25531914893617025,0.24822695035460995,-0.007092198581560294
PP22_00227,val,0.36271374947865975,0.39858195467815927,0.035868205199499514
PP22_00229,val,0.1799282081962309,0.18157343703260542,0.0016452288363745238
PP22_00231,val,0.1255115961800819,0.1284350029234067,0.002923406743324808
PP22_99999,val,0.3192912069541959,0.32597793380140416,0.00668672684720828
UKof_HD_Indoor_Light_OHcam_001,train,0.6945190757657174,0.6969371305749597,0.002418054809242287
UKof_HD_Indoor_Light_OHcam_002,train,0.7481415402914064,0.7731192387749033,0.024977698483496846
UKof_LD_Indoor_Light_FFcam_001,test,1.0,1.0,0.0
UKof_LD_Indoor_Light_FFcam_002,train,0.7091194968553459,0.7091194968553459,0.0
UKof_LD_Indoor_Light_OHcam_001,val,0.8529411764705882,0.9117647058823529,0.05882352941176472
UKof_LD_Indoor_Light_OHcam_002,train,0.55,0.55,0.0
UKof_LD_Indoor_Light_OHcam_003,train,-0.16666666666666674,-0.16666666666666674,0.0
UKof_LD_Indoor_Light_OHcam_004,train,0.3724747474747475,0.31439393939393945,-0.058080808080808066
UKof_LD_Indoor_Light_OHcam_005,train,0.1839080459770115,0.1839080459770115,0.0
UKof_LD_Indoor_Light_OHcam_006,train,0.743006993006993,0.8374125874125874,0.09440559440559437
UKof_LD_Indoor_Light_OHcam_007,train,0.7793103448275862,0.8206896551724138,0.04137931034482756
UKof_LD_Indoor_Light_OHcam_008,val,0.4467099165894347,0.494902687673772,0.04819277108433728
UKof_LD_Indoor_Light_OHcam_009,train,0.5201192250372578,0.5141579731743666,-0.005961251862891204
UKof_LD_Indoor_Light_OHcam_010,val,0.3139700641482538,0.3446186742694227,0.03064861012116893
UKof_LD_Indoor_Light_OHcam_011,train,0.4493554327808471,0.4659300184162063,0.016574585635359185
UKof_MD_Indoor_LLight_OHcam_001,train,0.6008037508372405,0.6336235766912257,0.03281982585398524
UKof_MD_Indoor_Light_FFcam_001,val,0.9054325955734407,0.9134808853118712,0.008048289738430525
UKof_MD_Indoor_Light_OHcam_001,train,0.5075891281327215,0.5517119661136605,0.04412283798093897
